company,product_name,download_amount,slogan,update_time,download_rankings_amount_1,download_rankings_amount_2,download_rankings_amount_3,download_rankings_amount_4,download_rankings_amount_5,download_rankings_amount_6,download_rankings_amount_7,download_rankings_amount_8,download_rankings_amount_9,download_rankings_amount_10,url
厦门一览网络科技有限公司,返现网,17.6万下载量,返现购物让每一次网购经历都更省钱更放心,APP更新：2017.12.21,"应用宝,9.6分,8.2万下载","豌豆荚,4.5分,4.9万下载","OPPO软件商店,10分,2万下载","百度手机助手,7.6分,1万下载","360手机助手,6.7分,1万下载","魅族应用商店,10分,5416下载","小米应用商店,7.0分,暂无",,,,http://www.jobui.com/company/12226610/products/30879/
西安攒颗钻网络技术有限责任公司,攒钻石,48.5万下载量,钻石饰品服务平台,APP更新：2017.08.30,"百度手机助手,8.0分,18万下载","360手机助手,9.4分,7万下载","应用宝,10分,6万下载","OPPO软件商店,10分,5万下载","魅族应用商店,10分,4.5万下载","华为应用市场,10分,4.2万下载","豌豆荚,10分,3.8万下载","小米应用商店,10分,暂无",,,http://www.jobui.com/company/13062763/products/31074/
苏州海客科技有限公司,购轻松,6.3万下载量,海外游购物平台,APP更新：2017.12.21,"华为应用市场,10分,1.9万下载","应用宝,10分,1.3万下载","百度手机助手,暂无,1万下载","OPPO软件商店,暂无,9000下载","360手机助手,7.5分,5251下载","豌豆荚,暂无,4860下载","魅族应用商店,9.4分,1948下载","小米应用商店,暂无,暂无",,,http://www.jobui.com/company/8210736/products/31355/
广东奇龙网络科技有限公司,奇龙网,25.3万下载量,消费打折平台,APP更新：2018.01.02,"360手机助手,9.5分,13万下载","应用宝,9.6分,10万下载","华为应用市场,6.0分,7574下载","豌豆荚,5.0分,5880下载","OPPO软件商店,暂无,4000下载","百度手机助手,9.7分,3452下载","魅族应用商店,10分,1986下载","小米应用商店,9.0分,暂无",,,http://www.jobui.com/company/11671711/products/30978/
珠海唯美网络科技有限公司,唯美美妆,367.5万下载量,专业的化妆品海淘网站,APP更新：2018.01.21,"应用宝,10分,105万下载","百度手机助手,8.8分,86万下载","360手机助手,9.9分,83万下载","华为应用市场,8.0分,42.8万下载","魅族应用商店,10分,41.9万下载","豌豆荚,5.0分,8.8万下载",,,,,http://www.jobui.com/company/12037577/products/76132/
北京哎呦呦网络科技有限公司,哎呦呦商城,6.2万下载量,APP更新：2017.12.21,数据更新：2018.01.22,"百度手机助手,10分,4万下载","华为应用市场,10分,1.4万下载","360手机助手,7.8分,6611下载","魅族应用商店,10分,1795下载","小米应用商店,暂无,暂无",,,,,,http://www.jobui.com/company/13274890/products/68169/
北京新态互动科贸有限公司,满座团购,12.8万下载量,APP更新：2017.12.21,数据更新：2018.01.22,"百度手机助手,8.8分,9万下载","360手机助手,6.3分,3万下载","豌豆荚,暂无,4410下载","应用宝,暂无,2831下载","魅族应用商店,暂无,291下载","小米应用商店,暂无,暂无",,,,,http://www.jobui.com/company/827903/products/39667/
重庆汇融文化传播（集团）有限公司,上游财经,5.3万下载量,重庆商报,APP更新：2017.12.21,"豌豆荚,暂无,2.3万下载","百度手机助手,暂无,2万下载","应用宝,暂无,4817下载","魅族应用商店,暂无,3267下载","360手机助手,6.0分,2384下载",,,,,,http://www.jobui.com/company/12101103/products/79191/
上海浩兮信息技术有限公司,火蕙,9万下载量,APP更新：2017.10.11,数据更新：2018.01.28,"百度手机助手,10分,5万下载","360手机助手,9.7分,4万下载","小米应用商店,10分,暂无",,,,,,,,http://www.jobui.com/company/12480039/products/68042/
乐得科技有限公司,网易1元购,459.4万下载量,iPhone7现货即发，1元开抢！,APP更新：2016.12.30,"豌豆荚,6.4分,309.4万下载","OPPO软件商店,4.0分,150万下载",,,,,,,,,http://www.jobui.com/company/11988217/products/23097/
深圳市大疆创新科技有限公司,DJI Store,20万下载量,APP更新：2018.01.12,数据更新：2018.01.28,"华为应用市场,6.0分,18万下载","360手机助手,7.2分,2万下载","苹果应用市场,7.0分,暂无",,,,,,,,http://www.jobui.com/company/461821/products/45039/
成都天地网信息科技有限公司,中药材买卖通,19.5万下载量,APP更新：2014.09.02,数据更新：2018.01.28,"百度手机助手,10分,13万下载","豌豆荚,10分,5.5万下载","应用宝,8.0分,6636下载","360手机助手,5.8分,3030下载",,,,,,,http://www.jobui.com/company/1336112/products/30888/
深圳市拍拍电商信息技术有限公司,拍拍小店,327万下载量,京东旗下手机开店工具 无货赚大钱,APP更新：2015.08.07,"百度手机助手,暂无,258万下载","豌豆荚,5.4分,28.3万下载","360手机助手,6.3分,22万下载","华为应用市场,5.0分,13.4万下载","魅族应用商店,6.4分,5.2万下载","小米应用商店,4.0分,暂无",,,,,http://www.jobui.com/company/13872118/products/30930/
广州我连互联网科技有限公司,我连网,29.5万下载量,吃喝玩乐衣食住行,APP更新：2018.01.23,"华为应用市场,10分,7.5万下载","应用宝,8.8分,6.9万下载","豌豆荚,暂无,6.5万下载","百度手机助手,10分,6万下载","魅族应用商店,7.8分,1.6万下载","360手机助手,8.3分,1万下载",,,,,http://www.jobui.com/company/12650585/products/76217/
上海多维度网络科技股份有限公司,爱抢购商家,16.3万下载量,爱抢购商家版--有损耗就找爱抢购,APP更新：2017.11.06,"百度手机助手,8.0分,7万下载","应用宝,10分,2.5万下载","华为应用市场,10分,2.3万下载","OPPO软件商店,8.0分,2万下载","魅族应用商店,暂无,9088下载","豌豆荚,暂无,8040下载","360手机助手,9.0分,7344下载","小米应用商店,暂无,暂无",,,http://www.jobui.com/company/12578903/products/79564/
厦门美图之家科技有限公司,美图美妆,507.9万下载量,智能测肤美妆购物,APP更新：2018.01.27,"应用宝,10分,263万下载","百度手机助手,9.9分,80万下载","魅族应用商店,10分,57.2万下载","360手机助手,9.8分,54万下载","华为应用市场,6.0分,48.3万下载","豌豆荚,暂无,5.4万下载",,,,,http://www.jobui.com/company/12036137/products/75622/
广东寻蜜鸟网络技术有限公司,寻蜜鸟,29.7万下载量,APP更新：2017.09.12,数据更新：2018.01.28,"豌豆荚,10分,11.4万下载","应用宝,暂无,7.4万下载","华为应用市场,5.0分,4.3万下载","百度手机助手,8.7分,4万下载","魅族应用商店,8.4分,2.6万下载","小米应用商店,8.0分,暂无",,,,,http://www.jobui.com/company/11942194/products/30972/
杭州有赞科技有限公司,有赞批发,14.3万下载量,进好货用有赞批发,APP更新：2017.08.07,"华为应用市场,8.0分,4.6万下载","豌豆荚,10分,2.8万下载","应用宝,10分,2.7万下载","百度手机助手,10分,2万下载","魅族应用商店,10分,1.3万下载","360手机助手,9.9分,1万下载","小米应用商店,10分,暂无",,,,http://www.jobui.com/company/11961382/products/13559/
翰墨千秋（北京）书画院有限公司,艺术交易中心,21.7万下载量,APP更新：2018.01.26,数据更新：2018.01.29,"360手机助手,6.9分,13万下载","应用宝,10分,3.9万下载","华为应用市场,8.0分,2.2万下载","豌豆荚,暂无,1.3万下载","百度手机助手,10分,1万下载","魅族应用商店,10分,2774下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/12142551/products/72600/
